week,pcr,rat,new,hospital,icu,ventilated,dead
2022-09-09,486.0,554.0,1040.0,86.0,1.0,0.0,0.0
2022-09-02,720.0,615.0,1335.0,91.0,0.0,0.0,4.0
2022-08-26,919.0,785.0,1704.0,112.0,3.0,0.0,4.0
2022-08-19,1388.0,1010.0,2398.0,124.0,3.0,1.0,8.0
2022-08-12,1893.0,1602.0,3495.0,135.0,4.0,2.0,9.0
2022-08-05,2626.0,2254.0,4880.0,141.0,2.0,1.0,10.0
2022-07-29,3664.0,2942.0,6606.0,147.0,1.0,0.0,4.0
2022-07-22,4127.0,3300.0,7427.0,152.0,4.0,0.0,2.0
2022-07-15,4563.0,3739.0,8302.0,135.0,4.0,3.0,3.0
2022-07-08,4984.0,4179.0,9163.0,137.0,4.0,3.0,1.0
2022-07-01,4257.0,3641.0,7898.0,138.0,4.0,1.0,2.0
2022-06-24,3574.0,3063.0,6637.0,99.0,1.0,0.0,4.0
2022-06-17,2809.0,2695.0,5504.0,87.0,2.0,1.0,6.0
2022-06-10,2743.0,2316.0,5059.0,83.0,1.0,0.0,4.0
2022-06-03,2675.0,2439.0,5114.0,81.0,1.0,0.0,3.0
2022-05-27,3035.0,2718.0,5753.0,83.0,3.0,1.0,1.0
2022-05-20,3470.0,3490.0,6960.0,84.0,4.0,2.0,2.0
2022-05-13,3729.0,3424.0,7153.0,74.0,4.0,1.0,3.0
2022-05-06,3479.0,3326.0,6805.0,66.0,5.0,0.0,5.0
2022-04-29,3340.0,3140.0,6480.0,65.0,3.0,0.0,1.0
2022-04-22,3336.0,3205.0,6541.0,57.0,2.0,0.0,2.0
2022-04-15,3570.0,2936.0,6506.0,58.0,2.0,1.0,3.0
2022-04-08,3539.0,3087.0,6626.0,55.0,3.0,2.0,2.0
2022-04-01,3549.0,3308.0,6857.0,46.0,2.0,1.0,3.0
2022-03-25,3905.0,3769.0,7674.0,42.0,3.0,0.0,1.0
2022-03-18,3310.0,3088.0,6398.0,37.0,4.0,1.0,1.0
2022-03-11,2625.0,2294.0,4919.0,31.0,1.0,1.0,3.0
2022-03-04,2400.0,2266.0,4666.0,35.0,2.0,1.0,1.0
2022-02-25,2106.0,2230.0,4336.0,41.0,3.0,0.0,1.0
2022-02-18,1789.0,1619.0,3408.0,45.0,2.0,1.0,1.0
2022-02-11,1649.0,1304.0,2953.0,50.0,3.0,1.0,4.0
2022-02-04,2415.0,1375.0,3790.0,65.0,1.0,1.0,1.0
2022-01-28,3353.0,2181.0,5534.0,66.0,5.0,1.0,4.0
2022-01-21,4366.0,4916.0,9282.0,62.0,2.0,1.0,6.0
2022-01-14,7773.0,240.0,8013.0,27.0,3.0,3.0,1.0
2022-01-07,5442.0,0.0,5442.0,24.0,3.0,3.0,0.0
2021-12-31,1507.0,0.0,1507.0,6.0,0.0,0.0,0.0
2021-12-24,310.0,0.0,310.0,2.0,0.0,0.0,0.0
2021-12-17,57.0,0.0,57.0,4.0,0.0,0.0,0.0
2021-12-10,40.0,0.0,40.0,5.0,2.0,0.0,1.0
2021-12-03,43.0,0.0,43.0,4.0,3.0,0.0,0.0
2021-11-26,91.0,0.0,91.0,7.0,4.0,4.0,0.0
2021-11-19,96.0,0.0,96.0,3.0,1.0,1.0,0.0
2021-11-12,95.0,0.0,95.0,0.0,0.0,0.0,0.0
2021-11-05,63.0,0.0,63.0,3.0,1.0,1.0,3.0
2021-10-29,82.0,0.0,82.0,9.0,6.0,5.0,0.0
2021-10-22,159.0,0.0,159.0,20.0,11.0,5.0,0.0
2021-10-15,247.0,0.0,247.0,16.0,8.0,5.0,2.0
2021-10-08,260.0,0.0,260.0,16.0,6.0,5.0,3.0
2021-10-01,194.0,0.0,194.0,11.0,3.0,3.0,3.0
2021-09-24,107.0,0.0,107.0,12.0,3.0,2.0,0.0
2021-09-17,123.0,0.0,123.0,8.0,1.0,1.0,0.0
2021-09-10,136.0,0.0,136.0,15.0,4.0,1.0,0.0
2021-09-03,117.0,0.0,117.0,10.0,3.0,1.0,0.0
2021-08-27,117.0,0.0,117.0,11.0,1.0,1.0,0.0
2021-08-20,88.0,0.0,88.0,1.0,0.0,0.0,0.0
2021-08-13,6.0,0.0,6.0,0.0,0.0,0.0,0.0
2021-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-16,403.0,388.0,791.0,76.0,1.0,1.0,0.0
2022-09-23,339.0,391.0,730.0,69.0,0.0,0.0,0.0
2022-09-30,264.0,352.0,616.0,55.0,1.0,0.0,1.0
2022-10-07,213.0,323.0,536.0,53.0,1.0,0.0,0.0
2022-10-14,235.0,422.0,657.0,50.0,2.0,0.0,0.0
2022-10-21,265.0,314.0,579.0,49.0,1.0,0.0,1.0
2022-10-28,298.0,433.0,731.0,43.0,1.0,0.0,0.0
2022-11-04,393.0,517.0,910.0,37.0,1.0,0.0,1.0
2022-11-11,456.0,738.0,1194.0,52.0,0.0,0.0,1.0
2022-11-18,541.0,908.0,1449.0,43.0,0.0,0.0,0.0
2022-11-25,691.0,1066.0,1757.0,34.0,1.0,1.0,0.0
2022-12-02,874.0,1365.0,2239.0,33.0,0.0,0.0,1.0
2022-12-09,870.0,1740.0,2610.0,58.0,3.0,0.0,5.0
2022-12-16,1398.0,1620.0,3018.0,81.0,0.0,0.0,1.0