date,new,total,recovered,dead,first,second,half,full,average,reff
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,
2020-03-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,
2020-03-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,
2020-03-15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,
2020-03-16,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,
2020-03-17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,
2020-03-18,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,
2020-03-19,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,2.9999999999999996
2020-03-20,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,2.5
2020-03-21,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,6.999999999999999
2020-03-22,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5714285714285716,8.5
2020-03-23,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,9.666666666666666
2020-03-24,7.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,5.285714285714286,7.0
2020-03-25,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,5.857142857142857,5.428571428571429
2020-03-26,9.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.588235294117647
2020-03-27,9.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.4827586206896552
2020-03-28,9.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,8.857142857142858,1.1142857142857143
2020-03-29,6.0,77.0,2.0,0.0,0.0,0.0,0.0,0.0,8.285714285714286,1.0
2020-03-30,1.0,78.0,2.0,1.0,0.0,0.0,0.0,0.0,6.571428571428571,0.7727272727272726
2020-03-31,2.0,80.0,3.0,1.0,0.0,0.0,0.0,0.0,5.857142857142857,0.6279069767441862
2020-04-01,4.0,84.0,8.0,1.0,0.0,0.0,0.0,0.0,5.714285714285714,0.5641025641025642
2020-04-02,3.0,87.0,11.0,1.0,0.0,0.0,0.0,0.0,4.857142857142857,0.4210526315789474
2020-04-03,4.0,91.0,18.0,1.0,0.0,0.0,0.0,0.0,4.142857142857143,0.4117647058823529
2020-04-04,2.0,93.0,18.0,2.0,0.0,0.0,0.0,0.0,3.142857142857143,0.5555555555555555
2020-04-05,3.0,96.0,28.0,2.0,0.0,0.0,0.0,0.0,2.7142857142857144,0.7272727272727273
2020-04-06,0.0,96.0,40.0,2.0,0.0,0.0,0.0,0.0,2.5714285714285716,0.7499999999999999
2020-04-07,1.0,97.0,42.0,2.0,0.0,0.0,0.0,0.0,2.4285714285714284,0.7142857142857143
2020-04-08,2.0,99.0,47.0,2.0,0.0,0.0,0.0,0.0,2.142857142857143,0.5333333333333333
2020-04-09,1.0,100.0,54.0,2.0,0.0,0.0,0.0,0.0,1.8571428571428572,0.43749999999999994
2020-04-10,2.0,102.0,59.0,2.0,0.0,0.0,0.0,0.0,1.5714285714285714,0.5
2020-04-11,0.0,102.0,62.0,2.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.6
2020-04-12,0.0,102.0,67.0,2.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.625
2020-04-13,1.0,103.0,72.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285715
2020-04-14,0.0,103.0,75.0,2.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.5
2020-04-15,0.0,103.0,77.0,3.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.16666666666666669
2020-04-16,0.0,103.0,79.0,3.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2
2020-04-17,0.0,103.0,81.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.25
2020-04-18,0.0,103.0,88.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-04-19,0.0,103.0,89.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-04-20,1.0,104.0,91.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0
2020-04-21,0.0,104.0,92.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0
2020-04-22,0.0,104.0,93.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,
2020-04-23,0.0,104.0,93.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,
2020-04-24,1.0,105.0,97.0,3.0,0.0,0.0,0.0,0.0,0.2857142857142857,2.0
2020-04-25,1.0,106.0,98.0,3.0,0.0,0.0,0.0,0.0,0.42857142857142855,2.0
2020-04-26,0.0,106.0,99.0,3.0,0.0,0.0,0.0,0.0,0.42857142857142855,2.0
2020-04-27,0.0,106.0,100.0,3.0,0.0,0.0,0.0,0.0,0.2857142857142857,2.0
2020-04-28,0.0,106.0,101.0,3.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0
2020-04-29,0.0,106.0,101.0,3.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.5
2020-04-30,0.0,106.0,103.0,3.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
2020-05-01,0.0,106.0,103.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-05-02,0.0,106.0,103.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,0.0,106.0,103.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,1.0,107.0,103.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,
2020-05-05,0.0,107.0,103.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,
2020-05-06,0.0,107.0,103.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,
2020-05-07,0.0,107.0,103.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,
2020-05-08,0.0,107.0,103.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0
2020-05-09,0.0,107.0,103.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-05-10,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-05-11,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-14,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-15,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-16,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-17,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-18,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-19,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-20,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-21,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-22,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-23,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-24,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-25,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-26,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-27,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-28,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-29,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-30,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-05-31,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-01,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-02,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-03,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-04,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-05,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-06,0.0,107.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-07,1.0,108.0,104.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,
2020-06-08,0.0,108.0,104.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,
2020-06-09,0.0,108.0,104.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,
2020-06-10,0.0,108.0,104.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,
2020-06-11,0.0,108.0,104.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0
2020-06-12,0.0,108.0,104.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-06-13,0.0,108.0,104.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-06-14,0.0,108.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,108.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-16,0.0,108.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-17,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-18,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-19,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-20,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-21,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-22,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-23,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-24,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-25,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-26,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-27,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-28,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-29,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-06-30,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-01,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-02,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-03,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-04,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-05,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-06,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-07,0.0,108.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-08,3.0,111.0,105.0,3.0,0.0,0.0,0.0,0.0,0.42857142857142855,
2020-07-09,1.0,112.0,105.0,3.0,0.0,0.0,0.0,0.0,0.5714285714285714,
2020-07-10,1.0,113.0,105.0,3.0,0.0,0.0,0.0,0.0,0.7142857142857143,
2020-07-11,0.0,113.0,105.0,3.0,0.0,0.0,0.0,0.0,0.7142857142857143,
2020-07-12,0.0,113.0,105.0,3.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.6666666666666667
2020-07-13,0.0,113.0,105.0,3.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.5
2020-07-14,0.0,113.0,105.0,3.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.2
2020-07-15,0.0,113.0,105.0,3.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
2020-07-16,0.0,113.0,105.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-07-17,0.0,113.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-18,0.0,113.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-19,0.0,113.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-20,0.0,113.0,107.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-21,0.0,113.0,107.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-22,0.0,113.0,107.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-23,0.0,113.0,109.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-24,0.0,113.0,109.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-25,0.0,113.0,109.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-26,0.0,113.0,109.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-27,0.0,113.0,109.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-28,0.0,113.0,109.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-29,0.0,113.0,109.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-30,0.0,113.0,109.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-07-31,0.0,113.0,109.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-01,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-02,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-03,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-04,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-05,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-06,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-07,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-08,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-09,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-10,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-11,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-12,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-13,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-14,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-15,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-16,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-17,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-18,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-19,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-20,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-21,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-22,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-23,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-24,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-25,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-26,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-27,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-28,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-29,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-30,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-08-31,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-01,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-02,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-03,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-04,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-05,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-06,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-07,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-08,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-09,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-10,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-11,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-12,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-13,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-14,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-15,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-16,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-17,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-18,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-19,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-20,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-21,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-22,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-23,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-24,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-25,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-26,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-27,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-28,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-29,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-09-30,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-01,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-02,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-03,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-04,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-05,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-06,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-07,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-08,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-09,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-10,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-11,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-12,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-13,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-14,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-15,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
2020-10-16,0.0,113.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,
